"filename", "language", "JavaScript", "JSON", "MS SQL", "Log", "Markdown", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\TicketMessageCard.js", "JavaScript", -360, 0, 0, 0, 0, 0, 0, -4, -11, -375
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\UnexpectedLogoutBanner.js", "JavaScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 26
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\UnsavedChangesModal.js", "JavaScript", 140, 0, 0, 0, 0, 0, 0, 0, 7, 147
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\VideoPlayer.js", "JavaScript", 545, 0, 0, 0, 0, 0, 0, 92, 63, 700
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\feedback\SuccessCard.js", "JavaScript", 403, 0, 0, 0, 0, 0, 0, 12, 26, 441
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\modals\CreateEventModal.js", "JavaScript", 746, 0, 0, 0, 0, 0, 0, 20, 28, 794
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\modals\DraftRecoveryModal.js", "JavaScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\modals\HeadsEditorModal.js", "JavaScript", 421, 0, 0, 0, 0, 0, 0, 5, 19, 445
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\modals\PollVotersModal.js", "JavaScript", 309, 0, 0, 0, 0, 0, 0, 0, 12, 321
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\modals\SettingsModal.js", "JavaScript", -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\AnimatedProgressBar.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 5, 8, 49
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\ChallengeCreateForm.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 2, 9, 83
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\ChallengeEditModal.js", "JavaScript", 366, 0, 0, 0, 0, 0, 0, 2, 22, 390
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\ChallengePostCard.js", "JavaScript", 632, 0, 0, 0, 0, 0, 0, 13, 33, 678
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\PollCreateForm.js", "JavaScript", 75, 0, 0, 0, 0, 0, 0, 1, 4, 80
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\PollEditModal.js", "JavaScript", 288, 0, 0, 0, 0, 0, 0, 2, 18, 308
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\PollPostCard.js", "JavaScript", 395, 0, 0, 0, 0, 0, 0, 8, 32, 435
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\PostTypeSelector.js", "JavaScript", -56, 0, 0, 0, 0, 0, 0, 3, 3, -50
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\PromptCreateForm.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 6, 5, 73
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\PromptEditModal.js", "JavaScript", 295, 0, 0, 0, 0, 0, 0, 2, 17, 314
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\PromptPostCard.js", "JavaScript", 298, 0, 0, 0, 0, 0, 0, 6, 24, 328
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\QnACreateForm.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 5, 6, 98
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\QnAEditModal.js", "JavaScript", 341, 0, 0, 0, 0, 0, 0, 2, 20, 363
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\posts\QnAPostCard.js", "JavaScript", 228, 0, 0, 0, 0, 0, 0, 19, 30, 277
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\ui\CustomDatePicker.js", "JavaScript", 569, 0, 0, 0, 0, 0, 0, 63, 56, 688
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\components\ui\CustomTimePicker.js", "JavaScript", 459, 0, 0, 0, 0, 0, 0, 8, 31, 498
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\constants\theme.js", "JavaScript", 73, 0, 0, 0, 0, 0, 0, 5, 5, 83
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\context\VideoContext.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 21, 19, 122
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\contexts\StatusBarManager.js", "JavaScript", 40, 0, 0, 0, 0, 0, 0, 14, 10, 64
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\hooks\useQualifiedView.js", "JavaScript", 115, 0, 0, 0, 0, 0, 0, 30, 26, 171
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\hooks\useVideoQualifiedView.js", "JavaScript", 127, 0, 0, 0, 0, 0, 0, 27, 32, 186
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\BottomTabNavigator.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, -1, 0, 27
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\CommunityBottomTabNavigator.js", "JavaScript", -14, 0, 0, 0, 0, 0, 0, -5, -3, -22
"c:\Users\sanja\OneDrive\Documents\Harshith\SnooSpace\frontend\navigation\CommunityDashboardStackNavigator.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 14
